Site,Species,ID,Fate,DaysActive,DOY,SmallStems_Ha,NestHeight,CanopyCover,Coverage,Dist_toTrailLog
BDL,NOCA,N45C19BDL16,1,14,27,41380.18844,1,6.594081081,2.194444444,1.008600172
STNY,AMRO,N47R28STNY3,1,3,38,24012.79491,2.34,6.594081081,2.194444444,1.477121255
STNY,YEWA,N48YW1STNY4,1,2,38,24012.79491,2.13390625,6.594081081,2.194444444,1.730620798
TECH,NOCA,N50C20TECH26,1,3,37,31830.91418,1.58,1.209,3.125,0.602059991
TECH,YEWA,N51YW2TECH27,1,4,29,24012.79491,2.13390625,6.594081081,2.194444444,1.477121255
BDL,AMRO,N52R30BDL17,1,3,40,28647.82277,4.59,6.594081081,2.194444444,0.371067862
BDL,GRCA,N53GC1BDL18,1,14,40,24012.79491,2.13390625,6.594081081,2.194444444,0.491361694
BDL,NOCA,N54C21BDL19,1,25,40,38197.09702,1.53,6.594081081,2.194444444,1.301029996
BDL,GRCA,N55GC2BDL20,1,8,40,73211.10262,1.95,6.594081081,2.194444444,1.004321374
BDL,YEWA,N56YW3BDL21,1,14,40,24012.79491,2.13390625,6.594081081,2.194444444,0.531478917
BDL,AMRO,N57R31BDL22,1,10,31,24012.79491,2.13390625,6.594081081,2.194444444,0.903089987
BDL,GRCA,N58GC3BDL23,1,8,40,24012.79491,2.13390625,6.594081081,2.194444444,1.301029996
STNY,GRCA,N60GC4STNY5,1,6,36,25464.73135,1.63,13.767,0,0.301029996
TECH,AMRO,N61R32TECH28,0,35,35,24012.79491,1.12,1.803,2.194444444,0.556302501
TECH,YEWA,N62YW4TECH29,0,31,37,15915.45709,1.36,31.957,5.5,1.477121255
TECH,YEWA,N63YW5TECH30,0,31,45,0,7.79,6.594081081,0,1
TECH,AMRO,N64R33TECH31,1,9,39,12732.36567,1,1.842,0,1
TECH,AMRO,N65R34TECH32,0,35,13,24012.79491,2.13390625,6.594081081,2.194444444,1.938269483
TECH,YEWA,N66YW6TECH33,1,4,49,24012.79491,9.79,6.594081081,2.194444444,1.602059991
BDL,NOCA,N67C23BDL24,1,14,36,24012.79491,0.8,41.994,0,0.698970004
STNY,AMRO,N68R35STNY6,1,26,41,3183.091418,2.26,6.594081081,2.194444444,-1
TECH,YEWA,N69YW7TECH34,1,6,43,15915.45709,0.93,1.033,0.125,0
TECH,YEWA,N70YW8TECH35,1,14,42,24012.79491,2.13390625,6.594081081,2.194444444,0
TECH,YEWA,N71YW9TECH36,1,14,42,22281.63993,1.22,45.527,3,1.602059991
TECH,YEWA,N72YW10TECH37,1,14,51,24012.79491,3.43,6.594081081,2.194444444,-1
TECH,GRCA,N73GC4TECH38,0,32,38,24012.79491,1.83,6.594081081,2.194444444,0.371067862
BDL,GRCA,N74GC5BDL25,1,6,47,24012.79491,2.13390625,6.594081081,2.194444444,1
STNY,YEWA,N75YW11STNY7,1,14,53,24012.79491,3.24,6.594081081,2.194444444,0.546542663
STNY,YEWA,N76YW12STNY8,0,31,41,38197.09702,2.34,6.594081081,2.194444444,0.113943352
TECH,GRCA,N77GC6TECH39,0,32,46,0,0.65,18.408,0,1.77815125
TECH,AMRO,N78R36TECH40,1,26,34,12732.36567,1.45,6.594081081,1.25,2.041392685
TECH,YEWA,N79YW13TECH41,1,26,34,38197.09702,2.13390625,6.594081081,2.194444444,0.356025857
TECH,AMRO,N81R38TECH43,0,35,51,19098.54851,1.07,2.963,0.375,1.301029996
BDL,YEWA,N82YW14BDL26,1,6,49,31830.91418,2.13390625,6.594081081,2.194444444,0.354108439
BDL,GRCA,N83GC7BDL27,1,6,54,12732.36567,1.17,6.594081081,3.625,1.698970004
BDL,GRCA,N84GC8BDL28,1,15,55,25464.73135,2.13390625,6.594081081,2.194444444,0.361727836
BDL,YEWA,N85YW15BDL29,1,26,48,15915.45709,2.13390625,6.594081081,2.194444444,0.451786436
BDL,GRCA,N86GC9BDL30,1,6,47,31830.91418,2.52,6.594081081,2.194444444,0.06069784
BDL,YEWA,N87YW16BDL31,1,14,58,24012.79491,0.85,2.626,0,0.36361198
TECH,YEWA,N88YW17TECH44,0,31,37,41380.18844,0.77,12.539,1.875,0.544068044
STNY,NOCA,N89C24STNY9,1,14,56,22281.63993,1.52,1.553,1.625,-0.22184875
STNY,NOCA,N90C25STNY10,1,14,56,0,1.94,3.726,1.375,0.643452676
STNY,YEWA,N91YW18STNY11,1,4,57,24012.79491,3.49,6.594081081,2.194444444,0.546542663
STNY,YEWA,N92YW19STNY12,1,26,42,0,6.31,6.594081081,2.194444444,0.571708832
STNY,YEWA,N93YW20STNY13,1,2,65,35014.0056,2.22,6.594081081,2.194444444,0.33243846
BDL,GRCA,N94GC10BDL32,0,32,42,19098.54851,1.46,0.103,0.625,0.309630167
TECH,YEWA,N95YW21TECH45,0,31,58,12732.36567,1.85,1.186,3.5,0.096910013
STNY,YEWA,N96YW22STNY14,1,26,57,0,6.31,6.594081081,2.194444444,0.243038049
STNY,YEWA,N97YW23STNY15,0,31,52,12732.36567,2.13390625,6.594081081,2.194444444,0.675778342
TECH,NOCA,N98C26TECH46,1,14,82,24012.79491,2.13390625,6.594081081,2.194444444,0.495544338
